product_name,brand,material_composition,hts_code,tariff_rate,country,base_price
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,51.01
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,60.01
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,76.4
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,68.28
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,73.97
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,9.91
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,94.76
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,47.76
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,24.31
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,44.24
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,34.37
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,51.47
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,58.16
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,99.25
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,93.88
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,2.04
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,79.16
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,54.32
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,69.08
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,92.25
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,89.17
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,45.92
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,7.01
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,81.5
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,98.46
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,45.54
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,61.98
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,6.78
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,41.56
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,93.55
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,26.63
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,36.31
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,88.97
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,48.56
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,12.65
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,58.53
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,15.58
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,79.35
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,59.59
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,83.36
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,87.49
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,84.77
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,22.95
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,58.46
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,32.12
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,10.12
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,69.0
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,49.95
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,8.37
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,6.8
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,80.42
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,38.85
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,91.86
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,14.5
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,90.94
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,92.01
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,77.24
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,85.72
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,76.54
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,43.94
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,10.54
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,37.17
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,32.39
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,3.27
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,15.09
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,63.06
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,9.21
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,24.79
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,89.28
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,13.35
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,35.84
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,18.37
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,53.19
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,7.62
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,75.6
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,32.12
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,57.69
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,82.49
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,51.68
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,39.44
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,73.27
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,64.27
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,40.59
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,42.98
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,78.58
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,71.16
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,74.58
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,42.57
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,1.67
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,48.7
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,33.2
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,38.35
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,67.19
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,58.7
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,37.85
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,20.3
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,7.29
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,5.89
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,65.13
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,40.1
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,44.09
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,60.17
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,47.41
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,77.42
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,91.67
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,14.74
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,4.87
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,92.84
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,47.43
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,47.49
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,20.13
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,33.94
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,72.97
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,14.02
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,31.02
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,88.15
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,33.74
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,3.49
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,71.15
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,59.87
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,44.07
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,73.5
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,78.48
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,26.24
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,3.71
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,79.91
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,93.17
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,54.74
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,54.26
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,83.94
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,68.12
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,56.62
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,99.24
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,79.75
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,91.53
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,42.69
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,59.87
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,69.84
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,17.19
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,63.19
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,76.59
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,67.9
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,45.6
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,77.23
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,48.91
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,37.82
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,78.57
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,48.33
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,3.22
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Vietnam,95.16
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,29.18
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,6.38
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,2.86
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,12.39
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,61.7
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,86.03
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,57.97
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,94.54
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,85.07
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,32.84
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,28.69
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,93.57
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,5.18
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,41.67
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,78.22
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,73.59
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,71.13
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,88.43
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,41.14
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,56.42
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,60.13
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,16.65
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,46.16
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,74.69
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,73.83
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,12.53
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,46.47
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,44.93
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,52.91
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,86.79
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,86.38
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,38.47
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,47.8
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,59.34
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,60.04
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,31.18
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,93.08
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,8.51
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,26.67
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Vietnam,45.18
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,32.96
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,55.99
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,50.83
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,27.1
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,12.96
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,53.21
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,47.92
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,40.62
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,85.94
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,94.61
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,72.52
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,41.78
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,37.92
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,52.3
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,49.49
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,62.18
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,45.15
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,41.57
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,69.58
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,64.97
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Vietnam,77.84
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,80.52
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,48.07
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,40.31
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,18.94
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,14.01
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,56.64
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,6.37
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,83.76
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,95.39
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,58.53
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,10.99
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,88.62
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,7.72
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Germany,94.97
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,62.56
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,25.28
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,2.33
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,55.25
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,6.37
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,54.56
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,47.31
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,97.18
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,22.04
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,23.09
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,20.05
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,83.17
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,53.64
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,5.52
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,76.06
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,18.73
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,49.64
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,77.46
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,23.08
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,41.41
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,9.25
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Mexico,20.5
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,35.11
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Mexico,32.81
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,39.95
